DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;TOTAL
2018;03 Marzo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;GUAYAS;261
2018;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";COTOPAXI;88
2018;04 Abril;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;AZUAY;2
2018;10 Octubre;J;INFORMACIÓN Y COMUNICACIÓN.;AZUAY;8
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PICHINCHA;719
2018;10 Octubre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";BOLIVAR;152
2018;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";TUNGURAHUA;181
2018;07 Julio;H;TRANSPORTE Y ALMACENAMIENTO.;BOLIVAR;45
2018;10 Octubre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOS RIOS;630
2018;05 Mayo;C;INDUSTRIAS MANUFACTURERAS.;BOLIVAR;8
2018;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;PICHINCHA;669
2018;04 Abril;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;BOLIVAR;13
2018;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;PICHINCHA;99
2018;02 Febrero;H;TRANSPORTE Y ALMACENAMIENTO.;BOLIVAR;4
2018;07 Julio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOS RIOS;2332
2018;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;GUAYAS;173
2018;11 Noviembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;GUAYAS;184
2018;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;LOS RIOS;21
2018;06 Junio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;SANTO DOMINGO DE LOS TSACHILAS;6
2018;05 Mayo;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";ESMERALDAS;6
2018;10 Octubre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ORELLANA;97
2018;11 Noviembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;BOLIVAR;23
2018;11 Noviembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;LOS RIOS;37
2018;05 Mayo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;BOLIVAR;3
2018;07 Julio;H;TRANSPORTE Y ALMACENAMIENTO.;COTOPAXI;137
2018;10 Octubre;H;TRANSPORTE Y ALMACENAMIENTO.;EL ORO;59
2018;08 Agosto;F;CONSTRUCCIÓN.;SUCUMBIOS;108
2018;12 Diciembre;C;INDUSTRIAS MANUFACTURERAS.;SANTO DOMINGO DE LOS TSACHILAS;48
2018;09 Septiembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOS RIOS;742
2018;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;TUNGURAHUA;123
2018;08 Agosto;S;OTRAS ACTIVIDADES DE SERVICIOS.;CHIMBORAZO;223
2018;04 Abril;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;IMBABURA;6
2018;03 Marzo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SUCUMBIOS;59
2018;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;BOLIVAR;7
2018;12 Diciembre;V;SIN ACTIVIDAD ECONOMICA - CIIU;IMBABURA;2
2018;02 Febrero;J;INFORMACIÓN Y COMUNICACIÓN.;BOLIVAR;2
2018;07 Julio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SUCUMBIOS;327
2018;07 Julio;C;INDUSTRIAS MANUFACTURERAS.;SUCUMBIOS;114
2018;08 Agosto;S;OTRAS ACTIVIDADES DE SERVICIOS.;SANTO DOMINGO DE LOS TSACHILAS;348
2018;01 Enero;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;BOLIVAR;6
2018;11 Noviembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;TUNGURAHUA;31
2018;07 Julio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;BOLIVAR;10
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;BOLIVAR;16
2018;01 Enero;H;TRANSPORTE Y ALMACENAMIENTO.;SUCUMBIOS;19
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ORELLANA;25
2018;02 Febrero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;39
2018;07 Julio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";LOJA;430
2018;08 Agosto;J;INFORMACIÓN Y COMUNICACIÓN.;CARCHI;2
2018;10 Octubre;S;OTRAS ACTIVIDADES DE SERVICIOS.;CARCHI;36
2018;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;CARCHI;26
2018;06 Junio;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;PICHINCHA;6
2018;08 Agosto;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;792
2018;10 Octubre;C;INDUSTRIAS MANUFACTURERAS.;CARCHI;7
2018;09 Septiembre;H;TRANSPORTE Y ALMACENAMIENTO.;IMBABURA;27
2018;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CHIMBORAZO;83
2018;11 Noviembre;L;ACTIVIDADES INMOBILIARIAS.;PICHINCHA;195
2018;12 Diciembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CHIMBORAZO;62
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CHIMBORAZO;32
2018;12 Diciembre;H;TRANSPORTE Y ALMACENAMIENTO.;CHIMBORAZO;21
2018;05 Mayo;P;ENSEÑANZA.;CHIMBORAZO;21
2018;07 Julio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CHIMBORAZO;182
2018;07 Julio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CARCHI;39
2018;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;103
2018;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;CARCHI;5
2018;07 Julio;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CARCHI;33
2018;05 Mayo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;PICHINCHA;73
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;CARCHI;31
2018;02 Febrero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CARCHI;18
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;18
2018;10 Octubre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ESMERALDAS;366
2018;11 Noviembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;87
2018;11 Noviembre;L;ACTIVIDADES INMOBILIARIAS.;COTOPAXI;9
2018;03 Marzo;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;PICHINCHA;13
2018;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOS RIOS;111
2018;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";COTOPAXI;76
2018;08 Agosto;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;COTOPAXI;1937
2018;07 Julio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MANABI;3162
2018;12 Diciembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";COTOPAXI;180
2018;07 Julio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;COTOPAXI;90
2018;08 Agosto;L;ACTIVIDADES INMOBILIARIAS.;COTOPAXI;14
2018;05 Mayo;L;ACTIVIDADES INMOBILIARIAS.;COTOPAXI;11
2018;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;COTOPAXI;23
2018;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;COTOPAXI;43
2018;07 Julio;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;COTOPAXI;33
2018;07 Julio;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;COTOPAXI;60
2018;12 Diciembre;C;INDUSTRIAS MANUFACTURERAS.;COTOPAXI;40
2018;07 Julio;S;OTRAS ACTIVIDADES DE SERVICIOS.;TUNGURAHUA;400
2018;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;MORONA SANTIAGO;17
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;TUNGURAHUA;100
2018;09 Septiembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";IMBABURA;193
2018;07 Julio;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";PICHINCHA;136
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";IMBABURA;91
2018;09 Septiembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;GUAYAS;537
2018;11 Noviembre;C;INDUSTRIAS MANUFACTURERAS.;CARCHI;12
2018;12 Diciembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;68
2018;02 Febrero;P;ENSEÑANZA.;IMBABURA;13
2018;03 Marzo;H;TRANSPORTE Y ALMACENAMIENTO.;CAÑAR;22
2018;02 Febrero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CAÑAR;17
2018;07 Julio;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;TUNGURAHUA;36
2018;03 Marzo;F;CONSTRUCCIÓN.;COTOPAXI;17
2018;01 Enero;F;CONSTRUCCIÓN.;PICHINCHA;118
2018;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;COTOPAXI;68
2018;09 Septiembre;F;CONSTRUCCIÓN.;LOJA;37
2018;09 Septiembre;H;TRANSPORTE Y ALMACENAMIENTO.;COTOPAXI;40
2018;12 Diciembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CAÑAR;34
2018;09 Septiembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;CAÑAR;68
2018;05 Mayo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;CAÑAR;2
2018;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;CAÑAR;23
2018;10 Octubre;C;INDUSTRIAS MANUFACTURERAS.;CAÑAR;23
2018;10 Octubre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;NAPO;13
2018;09 Septiembre;L;ACTIVIDADES INMOBILIARIAS.;TUNGURAHUA;36
2018;04 Abril;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;LOS RIOS;30
2018;06 Junio;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;COTOPAXI;11
2018;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;COTOPAXI;7
2018;07 Julio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;CARCHI;14
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;IMBABURA;104
2018;07 Julio;V;SIN ACTIVIDAD ECONOMICA - CIIU;PICHINCHA;54
2018;10 Octubre;H;TRANSPORTE Y ALMACENAMIENTO.;IMBABURA;28
2018;10 Octubre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CARCHI;20
2018;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;CARCHI;19
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MORONA SANTIAGO;30
2018;10 Octubre;H;TRANSPORTE Y ALMACENAMIENTO.;ORELLANA;14
2018;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;53
2018;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;CAÑAR;6
2018;04 Abril;P;ENSEÑANZA.;CHIMBORAZO;29
2018;04 Abril;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CHIMBORAZO;59
2018;02 Febrero;F;CONSTRUCCIÓN.;PICHINCHA;63
2018;07 Julio;J;INFORMACIÓN Y COMUNICACIÓN.;EL ORO;28
2018;08 Agosto;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;1211
2018;08 Agosto;H;TRANSPORTE Y ALMACENAMIENTO.;EL ORO;347
2018;03 Marzo;H;TRANSPORTE Y ALMACENAMIENTO.;EL ORO;15
2018;10 Octubre;C;INDUSTRIAS MANUFACTURERAS.;EL ORO;78
2018;08 Agosto;F;CONSTRUCCIÓN.;ORELLANA;72
2018;10 Octubre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;EL ORO;119
2018;07 Julio;L;ACTIVIDADES INMOBILIARIAS.;MANABI;239
2018;10 Octubre;F;CONSTRUCCIÓN.;EL ORO;45
2018;08 Agosto;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOJA;285
2018;02 Febrero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;EL ORO;48
2018;11 Noviembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ESMERALDAS;295
2018;06 Junio;P;ENSEÑANZA.;ESMERALDAS;6
2018;01 Enero;C;INDUSTRIAS MANUFACTURERAS.;ESMERALDAS;20
2018;10 Octubre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ESMERALDAS;267
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ESMERALDAS;80
2018;03 Marzo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;EL ORO;42
2018;08 Agosto;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SUCUMBIOS;257
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;51
2018;09 Septiembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;MANABI;476
2018;03 Marzo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;EL ORO;47
2018;08 Agosto;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CHIMBORAZO;59
2018;12 Diciembre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;CHIMBORAZO;1
2018;04 Abril;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CHIMBORAZO;18
2018;06 Junio;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";EL ORO;4
2018;12 Diciembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;59
2018;04 Abril;C;INDUSTRIAS MANUFACTURERAS.;LOJA;27
2018;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ORELLANA;49
2018;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;GALAPAGOS;3
2018;08 Agosto;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;MANABI;9922
2018;06 Junio;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;EL ORO;5
2018;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;EL ORO;18
2018;07 Julio;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOJA;97
2018;08 Agosto;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;EL ORO;140
2018;12 Diciembre;L;ACTIVIDADES INMOBILIARIAS.;EL ORO;16
2018;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CHIMBORAZO;43
2018;04 Abril;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;CHIMBORAZO;9
2018;02 Febrero;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;MANABI;14
2018;12 Diciembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;PASTAZA;15
2018;09 Septiembre;F;CONSTRUCCIÓN.;GUAYAS;372
2018;07 Julio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SUCUMBIOS;111
2018;03 Marzo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;COTOPAXI;12
2018;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PASTAZA;28
2018;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SANTA ELENA;96
2018;02 Febrero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ESMERALDAS;37
2018;03 Marzo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SANTO DOMINGO DE LOS TSACHILAS;21
2018;03 Marzo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;BOLIVAR;6
2018;11 Noviembre;F;CONSTRUCCIÓN.;GUAYAS;227
2018;07 Julio;F;CONSTRUCCIÓN.;SUCUMBIOS;114
2018;05 Mayo;J;INFORMACIÓN Y COMUNICACIÓN.;ESMERALDAS;9
2018;10 Octubre;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;ESMERALDAS;10
2018;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ESMERALDAS;30
2018;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;ESMERALDAS;23
2018;02 Febrero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";LOS RIOS;192
2018;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;GUAYAS;157
2018;08 Agosto;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;LOS RIOS;76
2018;11 Noviembre;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;GUAYAS;2
2018;09 Septiembre;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;GUAYAS;37
