DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;TOTAL
2017;10 Octubre;L;ACTIVIDADES INMOBILIARIAS.;PICHINCHA;98
2017;09 Septiembre;H;TRANSPORTE Y ALMACENAMIENTO.;CHIMBORAZO;17
2017;07 Julio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;BOLIVAR;10
2017;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;PICHINCHA;548
2017;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;PICHINCHA;314
2017;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;IMBABURA;30
2017;08 Agosto;L;ACTIVIDADES INMOBILIARIAS.;COTOPAXI;3
2017;03 Marzo;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;PICHINCHA;11
2017;11 Noviembre;P;ENSEÑANZA.;MANABI;31
2017;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;PICHINCHA;153
2017;06 Junio;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;BOLIVAR;6
2017;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;32
2017;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;BOLIVAR;23
2017;10 Octubre;S;OTRAS ACTIVIDADES DE SERVICIOS.;PICHINCHA;535
2017;06 Junio;F;CONSTRUCCIÓN.;BOLIVAR;2
2017;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;BOLIVAR;13
2017;12 Diciembre;P;ENSEÑANZA.;CHIMBORAZO;28
2017;11 Noviembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;BOLIVAR;15
2017;08 Agosto;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;BOLIVAR;3
2017;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;TUNGURAHUA;40
2017;06 Junio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;CHIMBORAZO;5
2017;07 Julio;H;TRANSPORTE Y ALMACENAMIENTO.;CAÑAR;21
2017;07 Julio;P;ENSEÑANZA.;BOLIVAR;10
2017;03 Marzo;P;ENSEÑANZA.;CAÑAR;6
2017;12 Diciembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;33
2017;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CAÑAR;9
2017;03 Marzo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CARCHI;83
2017;07 Julio;H;TRANSPORTE Y ALMACENAMIENTO.;SANTO DOMINGO DE LOS TSACHILAS;39
2017;09 Septiembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CHIMBORAZO;74
2017;11 Noviembre;L;ACTIVIDADES INMOBILIARIAS.;CHIMBORAZO;28
2017;01 Enero;P;ENSEÑANZA.;SANTO DOMINGO DE LOS TSACHILAS;26
2017;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;CHIMBORAZO;27
2017;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";COTOPAXI;127
2017;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;GUAYAS;94
2017;06 Junio;L;ACTIVIDADES INMOBILIARIAS.;ESMERALDAS;6
2017;12 Diciembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CHIMBORAZO;64
2017;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;CHIMBORAZO;9
2017;09 Septiembre;C;INDUSTRIAS MANUFACTURERAS.;CHIMBORAZO;31
2017;08 Agosto;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CHIMBORAZO;53
2017;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;CHIMBORAZO;11
2017;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CHIMBORAZO;96
2017;07 Julio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";SANTO DOMINGO DE LOS TSACHILAS;174
2017;03 Marzo;V;SIN ACTIVIDAD ECONOMICA - CIIU;PICHINCHA;11
2017;06 Junio;H;TRANSPORTE Y ALMACENAMIENTO.;LOJA;17
2017;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CHIMBORAZO;60
2017;07 Julio;F;CONSTRUCCIÓN.;MANABI;49
2017;10 Octubre;V;SIN ACTIVIDAD ECONOMICA - CIIU;PICHINCHA;1
2017;08 Agosto;P;ENSEÑANZA.;CHIMBORAZO;43
2017;11 Noviembre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;PICHINCHA;7532
2017;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;MANABI;86
2017;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CARCHI;25
2017;11 Noviembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;23
2017;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CARCHI;7
2017;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;39
2017;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;PICHINCHA;819
2017;09 Septiembre;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;PICHINCHA;42
2017;11 Noviembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;PICHINCHA;97
2017;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;COTOPAXI;20
2017;01 Enero;H;TRANSPORTE Y ALMACENAMIENTO.;COTOPAXI;22
2017;03 Marzo;C;INDUSTRIAS MANUFACTURERAS.;COTOPAXI;32
2017;07 Julio;H;TRANSPORTE Y ALMACENAMIENTO.;COTOPAXI;39
2017;09 Septiembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;COTOPAXI;20
2017;12 Diciembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;COTOPAXI;22
2017;09 Septiembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";LOS RIOS;119
2017;09 Septiembre;C;INDUSTRIAS MANUFACTURERAS.;PICHINCHA;136
2017;03 Marzo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;PICHINCHA;183
2017;07 Julio;P;ENSEÑANZA.;IMBABURA;33
2017;07 Julio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;34
2017;10 Octubre;P;ENSEÑANZA.;COTOPAXI;10
2017;01 Enero;C;INDUSTRIAS MANUFACTURERAS.;CARCHI;5
2017;09 Septiembre;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";PICHINCHA;15
2017;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;31
2017;10 Octubre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;GUAYAS;70
2017;09 Septiembre;L;ACTIVIDADES INMOBILIARIAS.;CAÑAR;6
2017;02 Febrero;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;CAÑAR;1
2017;10 Octubre;P;ENSEÑANZA.;CAÑAR;2
2017;09 Septiembre;P;ENSEÑANZA.;CAÑAR;5
2017;03 Marzo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;GUAYAS;213
2017;08 Agosto;F;CONSTRUCCIÓN.;COTOPAXI;13
2017;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";TUNGURAHUA;150
2017;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;PASTAZA;35
2017;11 Noviembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ESMERALDAS;85
2017;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MANABI;724
2017;11 Noviembre;H;TRANSPORTE Y ALMACENAMIENTO.;CAÑAR;12
2017;04 Abril;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CAÑAR;17
2017;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;PICHINCHA;186
2017;03 Marzo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;CAÑAR;4
2017;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;NAPO;11
2017;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;COTOPAXI;23
2017;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ESMERALDAS;74
2017;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;COTOPAXI;13
2017;11 Noviembre;P;ENSEÑANZA.;CARCHI;3
2017;08 Agosto;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;21
2017;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SUCUMBIOS;55
2017;10 Octubre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;AZUAY;2
2017;03 Marzo;H;TRANSPORTE Y ALMACENAMIENTO.;SANTO DOMINGO DE LOS TSACHILAS;61
2017;12 Diciembre;C;INDUSTRIAS MANUFACTURERAS.;CAÑAR;5
2017;01 Enero;H;TRANSPORTE Y ALMACENAMIENTO.;CAÑAR;23
2017;12 Diciembre;H;TRANSPORTE Y ALMACENAMIENTO.;TUNGURAHUA;22
2017;10 Octubre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;PICHINCHA;3
2017;10 Octubre;P;ENSEÑANZA.;CHIMBORAZO;33
2017;08 Agosto;J;INFORMACIÓN Y COMUNICACIÓN.;CHIMBORAZO;5
2017;04 Abril;C;INDUSTRIAS MANUFACTURERAS.;CHIMBORAZO;14
2017;04 Abril;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CHIMBORAZO;13
2017;01 Enero;C;INDUSTRIAS MANUFACTURERAS.;GUAYAS;123
2017;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;86
2017;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";EL ORO;128
2017;07 Julio;S;OTRAS ACTIVIDADES DE SERVICIOS.;MANABI;36
2017;08 Agosto;F;CONSTRUCCIÓN.;EL ORO;23
2017;02 Febrero;F;CONSTRUCCIÓN.;ESMERALDAS;5
2017;05 Mayo;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;ESMERALDAS;1
2017;06 Junio;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;129
2017;11 Noviembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;GUAYAS;206
2017;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;98
2017;12 Diciembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;EL ORO;43
2017;08 Agosto;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;GUAYAS;82
2017;11 Noviembre;J;INFORMACIÓN Y COMUNICACIÓN.;EL ORO;2
2017;07 Julio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";EL ORO;183
2017;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;98
2017;11 Noviembre;L;ACTIVIDADES INMOBILIARIAS.;EL ORO;18
2017;08 Agosto;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;29
2017;05 Mayo;C;INDUSTRIAS MANUFACTURERAS.;EL ORO;16
2017;12 Diciembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;GUAYAS;146
2017;08 Agosto;H;TRANSPORTE Y ALMACENAMIENTO.;EL ORO;8
2017;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;MANABI;35
2017;03 Marzo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;EL ORO;5
2017;09 Septiembre;L;ACTIVIDADES INMOBILIARIAS.;GUAYAS;79
2017;10 Octubre;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;73
2017;09 Septiembre;F;CONSTRUCCIÓN.;EL ORO;18
2017;09 Septiembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";EL ORO;136
2017;10 Octubre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;PICHINCHA;44
2017;11 Noviembre;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;EL ORO;292
2017;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;GUAYAS;89
2017;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";NAPO;24
2017;05 Mayo;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;CHIMBORAZO;1
2017;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;EL ORO;20
2017;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PASTAZA;27
2017;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;CHIMBORAZO;11
2017;03 Marzo;F;CONSTRUCCIÓN.;ORELLANA;19
2017;02 Febrero;H;TRANSPORTE Y ALMACENAMIENTO.;TUNGURAHUA;24
2017;03 Marzo;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;LOJA;3
2017;04 Abril;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;EL ORO;22
2017;08 Agosto;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;EL ORO;4
2017;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;ORELLANA;7
2017;02 Febrero;H;TRANSPORTE Y ALMACENAMIENTO.;ORELLANA;4
2017;01 Enero;P;ENSEÑANZA.;GUAYAS;99
2017;08 Agosto;C;INDUSTRIAS MANUFACTURERAS.;MORONA SANTIAGO;9
2017;04 Abril;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ESMERALDAS;22
2017;11 Noviembre;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;EL ORO;4
2017;01 Enero;J;INFORMACIÓN Y COMUNICACIÓN.;PICHINCHA;26
2017;05 Mayo;P;ENSEÑANZA.;SANTO DOMINGO DE LOS TSACHILAS;8
2017;03 Marzo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SANTO DOMINGO DE LOS TSACHILAS;110
2017;12 Diciembre;F;CONSTRUCCIÓN.;ESMERALDAS;174
2017;02 Febrero;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;GUAYAS;36
2017;02 Febrero;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;GUAYAS;4
2017;08 Agosto;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;GUAYAS;218
2017;01 Enero;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;GUAYAS;1
2017;04 Abril;J;INFORMACIÓN Y COMUNICACIÓN.;GUAYAS;121
2017;07 Julio;P;ENSEÑANZA.;GALAPAGOS;3
2017;08 Agosto;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;MANABI;29
2017;04 Abril;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;GUAYAS;28
2017;10 Octubre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";SANTA ELENA;56
2017;02 Febrero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";TUNGURAHUA;114
2017;09 Septiembre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;GUAYAS;4
2017;05 Mayo;F;CONSTRUCCIÓN.;PASTAZA;15
2017;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;MANABI;65
2017;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;19
2017;06 Junio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;GUAYAS;37
2017;08 Agosto;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;ESMERALDAS;9
2017;04 Abril;P;ENSEÑANZA.;GUAYAS;140
2017;04 Abril;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ESMERALDAS;16
2017;09 Septiembre;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;ESMERALDAS;13
2017;03 Marzo;C;INDUSTRIAS MANUFACTURERAS.;ESMERALDAS;36
2017;06 Junio;S;OTRAS ACTIVIDADES DE SERVICIOS.;ESMERALDAS;35
2017;04 Abril;P;ENSEÑANZA.;ESMERALDAS;5
2017;05 Mayo;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";ESMERALDAS;3
2017;10 Octubre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SANTO DOMINGO DE LOS TSACHILAS;28
2017;10 Octubre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ESMERALDAS;24
2017;12 Diciembre;L;ACTIVIDADES INMOBILIARIAS.;ESMERALDAS;56
2017;03 Marzo;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;GUAYAS;3
2017;04 Abril;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";GUAYAS;25
2017;08 Agosto;S;OTRAS ACTIVIDADES DE SERVICIOS.;SANTO DOMINGO DE LOS TSACHILAS;34
2017;09 Septiembre;P;ENSEÑANZA.;ESMERALDAS;6
2017;07 Julio;P;ENSEÑANZA.;SANTO DOMINGO DE LOS TSACHILAS;15
2017;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ESMERALDAS;23
2017;09 Septiembre;D;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.;ESMERALDAS;1
2017;03 Marzo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;SANTA ELENA;28
2017;10 Octubre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MANABI;301
2017;08 Agosto;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;TUNGURAHUA;8
2017;04 Abril;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CHIMBORAZO;22
2017;06 Junio;J;INFORMACIÓN Y COMUNICACIÓN.;GUAYAS;68
2017;02 Febrero;C;INDUSTRIAS MANUFACTURERAS.;SANTA ELENA;5
